Ano;Mes;Moneda;Subtitulo;Nombre Subtitulo;Ejecucion de JUNIO;Ejecucion a JUNIO
2023;junio;DOLARES;01;IMPUESTOS;11.409;94.616
2023;junio;DOLARES;06;RENTAS DE LA PROPIEDAD;35.235;190.538
2023;junio;DOLARES;07;INGRESOS DE OPERACION;410;1.823
2023;junio;DOLARES;08;OTROS INGRESOS CORRIENTES;113.724;687.003
2023;junio;DOLARES;11;VENTA DE ACTIVOS FINANCIEROS;803.527;4.025.724
2023;junio;DOLARES;12;RECUPERACION DE PRESTAMOS;105;992
2023;junio;DOLARES;21;GASTOS EN PERSONAL;11.186;61.444
2023;junio;DOLARES;22;BIENES Y SERVICIOS DE CONSUMO;8.583;93.985
2023;junio;DOLARES;23;PRESTACIONES DE SEGURIDAD SOCIAL;13;70
2023;junio;DOLARES;24;TRANSFERENCIAS CORRIENTES;1.005;58.090
2023;junio;DOLARES;25;INTEGROS AL FISCO;0;124
2023;junio;DOLARES;26;OTROS GASTOS CORRIENTES;1;34
2023;junio;DOLARES;29;ADQUISICION DE ACTIVOS NO FINANCIEROS;143;1.110
2023;junio;DOLARES;30;ADQUISICION DE ACTIVOS FINANCIEROS;907.635;4.104.687
2023;junio;DOLARES;31;INICIATIVAS DE INVERSION;0;52
2023;junio;DOLARES;32;PRESTAMOS;123;661
2023;junio;DOLARES;33;TRANSFERENCIAS DE CAPITAL;150;150
2023;junio;DOLARES;34;SERVICIO DE LA DEUDA;56.410;658.680
2023;junio;PESOS;01;IMPUESTOS;3.264.166.449;26.189.428.063
2023;junio;PESOS;04;IMPOSICIONES PREVISIONALES;277.402.795;1.603.643.033
2023;junio;PESOS;05;TRANSFERENCIAS CORRIENTES;5.065.886;20.824.644
2023;junio;PESOS;06;RENTAS DE LA PROPIEDAD;30.738.590;2.118.602.383
2023;junio;PESOS;07;INGRESOS DE OPERACION;97.501.259;638.026.352
2023;junio;PESOS;08;OTROS INGRESOS CORRIENTES;774.261.962;2.340.225.782
2023;junio;PESOS;09;APORTE FISCAL;108;592.662
2023;junio;PESOS;10;VENTA DE ACTIVOS NO FINANCIEROS;1.076.404;7.879.164
2023;junio;PESOS;11;VENTA DE ACTIVOS FINANCIEROS;673.163.398;2.116.784.552
2023;junio;PESOS;12;RECUPERACION DE PRESTAMOS;87.982.859;1.584.078.587
2023;junio;PESOS;13;TRANSFERENCIAS PARA GASTOS DE CAPITAL;870.673;44.441.354
2023;junio;PESOS;14;ENDEUDAMIENTO;694.192.009;8.053.083.060
2023;junio;PESOS;21;GASTOS EN PERSONAL;1.312.101.693;6.780.225.030
2023;junio;PESOS;22;BIENES Y SERVICIOS DE CONSUMO;410.920.268;2.456.697.802
2023;junio;PESOS;23;PRESTACIONES DE SEGURIDAD SOCIAL;1.191.475.174;7.006.963.742
2023;junio;PESOS;24;TRANSFERENCIAS CORRIENTES;2.114.805.235;12.023.644.309
2023;junio;PESOS;25;INTEGROS AL FISCO;38.672.498;425.650.478
2023;junio;PESOS;26;OTROS GASTOS CORRIENTES;-208.377;99.591.082
2023;junio;PESOS;27;APORTE FISCAL LIBRE;190.970;2.755.168
2023;junio;PESOS;28;APORTE FISCAL PARA SERVICIO DE LA DEUDA;0;352.100
2023;junio;PESOS;29;ADQUISICION DE ACTIVOS NO FINANCIEROS;9.867.608;49.330.430
2023;junio;PESOS;30;ADQUISICION DE ACTIVOS FINANCIEROS;-967.464.130;2.082.645.446
2023;junio;PESOS;31;INICIATIVAS DE INVERSION;330.643.391;1.343.507.432
2023;junio;PESOS;32;PRESTAMOS;115.781.334;586.879.005
2023;junio;PESOS;33;TRANSFERENCIAS DE CAPITAL;483.536.531;2.594.587.153
2023;junio;PESOS;34;SERVICIO DE LA DEUDA;373.541.148;8.532.538.848
